tweet,compound,likely_party
"America is a dark place with #trump. We already have #bedlam in our country. The religious right believe this is a vote between #heaven and #hell

They are right. #trump is #hell

4 years of his lies &amp; bullshit. He’s the biggest con and liar In the world. 

#EducateYourself",-0.9501,1
"If #DonaldTrump could disappear people for asking him difficult questions or rebutting his lies, you know he would. ""Into the cornfield for you #LeslieStahl!"" https://t.co/fPQKLQa6UL",-0.7574,1
"@ProjectLincoln @DonaldJTrumpJr Wow...😳 
That’s the most damning clip of Don Jr. I’ve seen where he’s showing every. single. sign. of abusing stimulants. I mean... sure, we can’t prove it, but as someone who knows stimulants *ahem*, this is the cocaine equivalent of the “heroin nod”. #DonaldTrumpJr #Trump",-0.2952,1
"#Christ said you will know someone by the nature of their fruits. I don’t know what happened but many who call themselves #Christian cannot see #Trump’s fruits are pure rotten. Stealing from a charity, for kids with cancer at that, and spreading hate is a bitter fruit! Inedible",-0.9749,1
Spread that fear #JoeBiden Spread That Fear #JoeBiden  !!!,-0.8061,2
"#Trump thinks ""Europe"" is a country......ummmm ...his geography teachers failed him.",-0.5106,1
"#wednesdaythought #Election2020
 #WednesdayFeelings #wednesdaymood even if #Biden still wins this wasn't the stunningly repudiation of fascism I hoped, it was like a razor thin margin, sure Hitler has been defeated but we still have a nation full of pissed off #Nazis to deal with",-0.5106,2
Do you hate America is so vote for #JoeBiden He sold us out before now he wants 328 million serfs for his plantation. https://t.co/gr2RvPPqqU,-0.5719,2
"#BenedictDonald #trump #TRE45ON #TYPHOIDtrump
#AClearAndPresentDanger
#TREASON #Traitor #UNamerican #UNpatriotic
#PublicEnemyNo1 #ENEMYofTheState #ENEMYofTheConstitution #ENEMYofThePeople #ENEMYofAmerica
#UNqualified #UnfitForOffice
#FUCKtrump #sociopaths #trumpTrash
#ShitMonkeys https://t.co/ByBhSFW55u",-0.989,1
This. So scary #Trump #Trump2020 https://t.co/WU7mSkedZx,-0.5413,1
"The experts said we could lose millions of people but if we do everything right it would be closer to 200,000. Stop trying to say that Trump did everything wrong. The China virus is a reality no matter who is in office and based on those numbers #Trump did very well. #COVID19",-0.8106,1
"@KeysViews @NBCNews @maddow JUST DELETED ALL #NBC programming on my DVR. Like uncoupling, I have ""un-choiced"" NBC! No #NBCtownhall  Bye @SavannahGuthrie! #FireChuckTodd  #NBCNewsIsASellout

Of course, #Trump's not shedding the infectious #virus,  he never had it. @NBCNews should know that! #TrumpCovidHoax",-0.6219,1
"The “Beach Boys” that will be clowning for #Trump at some “rally” today—- are not The Beach Boys. @MikeLoveOFCL has been a disgruntled, not-a-Wilson OR talented member, for decades. Eff these fakes. @BrianWilsonLive condemns and disavows such embarrassments.

#NotBeachBoys",-0.6705,1
"@BresPolitico #JoeBiden declared they have built ""the most extensive and inclusive #voterfraud organization in the history of American politics"".",-0.5859,2
"#MittRomney is right, just say no to #DonaldTrump  #2020election https://t.co/8piOiOUJY4",-0.296,1
"@LT I am absolutely afraid to display a #Biden yard sign or bumper sticker. Members of the Y'ALL-Queda would key my car at Wal-Mart and shoot my dogs. Seriously, the lack of signs does not equal lack of support.",-0.6124,2
"It's absolutely WORSE than that...
@GOP HAD better options instead OF @realDonaldTrump in 2016 &amp; 2020....BUT #voters CHOSE #Trump regardless thus forcing @McConnellPress &amp; @LindseyGrahamSC / @tedcruz FALL in-line like bitches TO keep seats in Senate! Crazed #Conservatives CHOSE https://t.co/7FmBG4MJm5",-0.6617,1
"I legitimately worry about his health. He has to be on a heavy dose of steroids, right? #Trump #Election2020 https://t.co/Jas6BgLbxL",-0.4404,1
"So Radcliffe wants us to believe the only patriotic thing to do is vote for #Trump to save us from #Putin #Russian interference.

All the lying just makes this massive debacle even more wasteful and otherwise harmful.",-0.0516,1
"#JoeBiden Will shit his pants 👖, while being sworn in.",-0.5574,2
@CBSNews Let’s get real. #Trump has no plans. He’s clueless. But the #GOPComplicitTraitors have big plans. To take away healthcare for millions of Americans in the middle of a pandemic! #HealthCareVoter #HealthcareIsAHumanRight #HealthCareForAll,-0.3903,1
Joe and his damn jog gets me every time. 😂😂 #JoeBiden #bidenharis2020 https://t.co/cBTgil5M9F,-0.4019,2
