tweet,compound,likely_party
"No better case has been made to #Vote #Trump @benshapiro #benshapiro #AmericaFirst 

https://t.co/8lzKdkhtfv",0.1779,2
#trump : “they had me losing Florida and then I ended up winning Florida”  wanna know how? THEY COUNTED ALL THE VOTES! #CountAllTheVotes,0.2714,2
"@murray_nyc @realDonaldTrump ❤️✨♥️♥️✨♥️✨♥️✨
I am Asian American but I am voting for President #Trump 2020 because he keeps it real. He is human with flaws like the rest of America but he has passionate, no bullshit LOVE for America.♥️✨♥️✨asiansfortrump #boycottcnn #silentmajority ✨❤️✨❤️✨❤️✨♥️✨♥️✨",0.7003,2
"@ABC ""The idea that an 8-year-old child or a 10-year-old child decides, you know I decided I want to be transgender. That's what I think I'd like to be. It would make my life a lot easier."" #JoeBiden  could not even finish the sentence b/c it is so preposterous, but he won't condemn.",0.5894,1
"I love hummers!
#Biden countdown to winning, breather. :)

#birds https://t.co/ZBgwcAhZIg",0.8977,1
"Seamos honestos, #Trump lo ha vuelto a hacer #Debates2020 #Trump2020 now let's all go out and reelect President @realDonaldTrump",0.34,2
"""We are very confident that we will be winning #Pennsylvania"" says #Trump campaign official @JasonMillerinDC - notes ballots in counties outside Philadelphia",0.7841,2
#TrumpMeltdown #Trump is a malignancy that has spread though the GOP. Dont forget he has enablers that are complicit #TrumpIsUnfitForOffice #TrumpIsCompromised Dont let him leave the country https://t.co/AglqzM3Fm6,0.2057,2
"Yeah!!! And those #AfricanANGELS responded: ""Forget you #Paula and #Trump!!! Find yourself some more #Angels, because we are NOT coming!!!"" https://t.co/aBFzSraxCb",0.3544,2
"@tlwels74 Y'all are not alone, we are in our 60s &amp; trying to stay healthy
Our concerns are for our children &amp; grandchildren.
Our granddaughter tested positive for Covid today, she is teacher who was forced back to teach in class. It is unforgivable what #Trump &amp; the #Republicans have done.",0.6174,2
Here’s a refresher of #RealityWinner’s story. She’s a hero. A courageous young woman who leaked a report showing #Trump lied abt Russian hacking. It’s outrageous Manafort &amp; Cohen have been released early &amp; Reality sits in Covid infestation! #FreeRealityWinnerNOW https://t.co/O5jO6wS9BN,0.8172,2
Everyone saying #trump supporters are ugly... until I show up and smash your sister and make your mother jealous she ain’t getting it too #HandsomeConservative 🇺🇸🇺🇸 https://t.co/WUdWA4dTq3,0.4767,2
"donated today to Christina b/c #GOP Fitzpatrick is NOT a moderate, has supported #Trump large % of his votes. Also #SilenceIsComplicit.  #VoteBlueToEndThisNightmare
#TuesdayThoughts
@FinelloForPA is running to flip PA-01❗Plz join me - help Finello win! https://t.co/jfqKGt3kUY",0.7923,2
@DeepSouthProud What type of father teaches his son how to 'game the system'? What type of political party embraces such a parent? #JoeBiden,0.4696,1
"@thehill One of the few benefits to this drawn out election process is allowing time for #Trump and #MAGAts to get used to the idea that he lost, before the big news hits the world. On another note, this would have been over 2 days ago if winner chosen by popular vote.",0.7845,2
"@naretevduorp @margare02726836 This will hurt a lot of people, some of them are #Trump supporters.  @POTUS needs to care for all Americans.  #VoteBlueToEndThisNightmare",0.4019,2
@POTUS is having a party in his pants and we're all invited #Trump,0.4019,2
"@Arriadna @carlquintanilla @michaelepeters7 @Reuters Of course, #Trump thinks he's a lock in his pet #Conservative #SCOTUS so he'll push it on up the chain till he gets to that. Hoping that they'll sweep aside the #MAJORITY of the people's vote &amp; install him as #El_President_for_Life_Trump!",0.4753,2
"#Trump : Twitter, Facebook 'Out of Control' -- 'Like a Third Arm' of DNC https://t.co/VPuULIYgV6",0.3612,2
Before election day I just want to put this out there .Donald #Trump invented that  piece furniture you always stub your toe on. He also endorses that wet mildew smell towels get when you leave them in a basket &amp;that yellow paint that everybody slips on when wet on sidewalks,0.3612,2
@ProjectLincoln best video yet!  Perfect description of #Trump and the @GOP in one video ! #ByeDon2020 https://t.co/3x6wQBXkYD,0.8585,2
"To #tRump it is all about the ratings, has always been about the ratings.  He thinks we will want to watch the wreck instead of seeing who wins the race. Sounds like #NASCAR https://t.co/mwvzzWLhcx",0.5574,2
"After having a nice celebration @ #BLMPlaza where nice young white liberal girls and young nice black girls celebrated their candidate #Biden being called #PresidentElectBiden these girls giggling about my get up as #SCOTUS justice, #Blue eyes saw #RBG not #ACB, already #OccupyDC https://t.co/dcXH3AqsBX",0.9684,1
"@SissyA1965 @jenradcliffe1 @mmpadellan He's wearing a #JoeBiden t shirt in the above photo. Doesn't prove anything, sure, it's a good indicator though.",0.2354,1
"#JoeBiden says he is going to rich across the aisle and bring us together. Then he says he is going to rule by Executive Order. Joe hasn’t changed. He’s STILL a liar. 
@marthamaccallum @HeidiNBC @margbrennan @SusanPage @mgoodwin_nypost @DanHenninger @VDHanson @RyanAFournier",0.0772,1
"....thank you to my friend for reminding me about this. I will have to give it another read. 20 years later and this man won. He finally WON it. 😅

#WhatItTakes #JoeBiden #JoeBidenWon",0.9436,1
Vote 🗳 for #freedom! Vote 🗳 for #security! Vote for #safety! Vote for #Trump 🇺🇸 #2020Election @realDonaldTrump https://t.co/CJATbxLgag,0.8827,2
@JoeBiden We love you Joe!!!! Happy dancing in my room. #JOEBIDEN2020 #JoeBiden #welovebiden,0.9357,1
"“If Biden wins Florida...his chances of winning the Electoral College shoot up to greater than 99 percent, which could be important on Nov. 3 because Florida generally counts its votes quickly and might ...determine who won the state on election night.” #FloridaForBiden #Biden",0.926,1
"@davidhogg111 #GenZ  simply cares more than #Millennials do. Millenials gave us #trump by not voting, GenZ helped us get rid of him. If these thin margins teach us anything it’s that #EveryVoteCounts",0.4588,2
"Watched a snippet of the #Trump forum. Do you think he is getting ready to overturn #November election by hook or by crook? If he wasn't why is he talking to his supporters like he does about a ""crooked election""? #TrumpPendingCoupAgainstTheElection?  #Resist @funder",0.8146,2
"I bet Rex Tillerson's ""bribery outing"" by @realDonaldTrump today is just a warning shot across the bow of all rich and powerful #Americans that #Trump / #Putin have on them. 

There are going to be a lot of rich folks going to jail just so we could have The Apprentice as a POTUS",0.8225,2
"#Dutch hacker gains access to @realDonaldTrump twitter account.
The password #maga2020.
#Trump is not using two step verification.
#TrumpIsANationalSecurityThreat

Nederlander hackt Twitteraccount Trump: 'Zijn wachtwoord was maga2020!'
https://t.co/A16KqXg3gE",0.1759,2
"We are going to start saying Merry Christmas Again -President Trump Sweatshirt
Buy Now: https://t.co/a0nl0eUMu5

#TRUMP2020ToSaveAmerica #TownHall #TrumpTownHall #Christmas2020 #cheistmassweater #VoteTrump #TrumpPence2020 #Trump2020 #NBCtownhall #Trump #DonaldTrump #Debate2020 https://t.co/FFhnIUmwHj",0.7717,2
"Not his worst. But right up there with “At least you got a nice boat out of the deal!?” after Hurricane Florence. 

#trump #empathy https://t.co/huRjUuZQUD",0.7302,2
"What happens first, #jets winning a game or #Biden announced as president? #Election2020 #TakeFlight",0.5267,1
Yooooooooooo why my pork bun over here looking like #trump https://t.co/dkdyand3Cv,0.3612,2
